"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ADARB2"	0.61594885	0.973648	"DGN-WB_exp"	"0.5704942-0.6512344"	"0.94211548-0.9971904225"
"BMS1"	0.0132926	0.1983715	"DGN-WB_exp"	"0.00105470595-0.042344079"	"0-0.9663357025"
"C10orf88"	0.163221	0.95181325	"DGN-WB_exp"	"0.1139808-0.2211155575"	"0.83013627-0.997820865"
"COL17A1"	0.04707847	0.8421658	"DGN-WB_exp"	"0.02160700925-0.08433137"	"0.197899455-0.9935514"
"VTI1A"	0.084484	0.8921445	"DGN-WB_exp"	"0.0478585605-0.1330065325"	"0.571669995-0.9959181"
"UPF2"	0.010445675	0.09859155	"DGN-WB_exp"	"0.00040072966-0.04059944975"	"0-0.91759556"
"DNTT"	0.060571645	0.5482637	"DGN-WB_exp"	"0.022847894-0.1203932425"	"0.03838244125-0.973814885"
"TYSND1"	0.26669435	0.9072171	"DGN-WB_exp"	"0.20984141-0.326217255"	"0.773557965-0.991176175"
"SORCS3"	0.06558504	0.5732222	"DGN-WB_exp"	"0.029656272-0.1183062775"	"0.03270791975-0.9794981375"
"MAPK8"	0.01717905	0.60061895	"DGN-WB_exp"	"0.00133648515-0.04680253775"	"0-0.985304175"
"CUZD1"	0.01274003	0.2043814	"DGN-WB_exp"	"0.00055358178-0.0488860995"	"0-0.951061327499999"
"THNSL1"	0.06633653	0.57260755	"DGN-WB_exp"	"0.025497494-0.126746865"	"0.033457756-0.9736211675"
"HPSE2"	0.012978755	0.5487203	"DGN-WB_exp"	"0.000429593165-0.052492705"	"0.03260733175-0.9763177275"
"BUB3"	0.047949645	0.2643017	"DGN-WB_exp"	"0.00791895295-0.1055537275"	"0-0.9228345325"
"APBB1IP"	0.13070735	0.913227	"DGN-WB_exp"	"0.08877434725-0.1877760575"	"0.7092260625-0.9961899"
"RPS24"	0.009795917	0.1812163	"DGN-WB_exp"	"0.0003669796925-0.0360910445"	"0-0.9494804"
"ENTPD7"	0.032036175	0.8140142	"DGN-WB_exp"	"0.006623089725-0.069404555"	"0-0.9932219"
